,text,topic
1,Die Schuhe haben überhaupt nicht gepasst.,Passform
2,Sie waren viel zu klein. Ich musste sie in 2 Nummern größer nochmal bestellen,Passform
3,Die Größentabelle war totaler Müll. Trotz abgleich mit den Angaben des Verkäufers passen mir die Schuhe nicht,Passform
4,"Habe sonst immer eine 42, musste hier aber eine Nummer größer nehmen",Passform
5,Statt Schugrösse 43 mal wegen den Rezessionen 44 bestellt und sie passen gerade so. Auf jeden fall nix für dicke füsse.,Passform
6,Die Schuhe sind zu klein,Passform
7,Passt überhaupt nicht! ,Passform
8,"viel zu schmal! Die Länge ist ok, aber zu schmal geschnitten. Der Schuh drückt an der Seite - nicht tragbar",Passform
9,Zu Schmal,Passform
10,"Die Schnüren ist zu tief. Die Größe ist ok, aber man kann die Schuhe nicht weit genug zuschnüren. Schlüpfe jedes Mal fast raus wenn ich einen Schritt mache.",Passform
11,Die Schuhe fallen sehr groß aus. Habe die Schuhe nochmal zurück geschickt und 2 Nummern kleiner bestellt,Passform
12,Die Schuhe drücken und sind zu klein,Passform
13,Viel zu klein!,Passform
14,"Für was für Füße sind die Schuhe denn gemacht? Passen überhaupt nicht. Ich habe sie schon größer bestellt als ich normal trage, aber sie sind dennoch zu klein.",Passform
15,Die Schuhe sind sehr schlecht geschnitten.,Passform
16,"Zu groß, deshalb zurckgeschickt.",Passform
17,"Obwohl ich schon eine Schuhgröße größer bestellt habe sind sie viel zu eng. Selbst mit ganz geöffneter Schnürung ist der Schuh so eng, dass man nicht hineinschlüpfen konnte.",Passform
18,Ich hatte den gleichen Schuh bereits in 39 in einer anderen Farbe der gut gepasst hat. Diesmal ist die 39 zu klein.,Passform
19,Die Größe war nicht in Ordnung,Passform
20,Die Größe passt nicht wie erwartet....Der Sneaker drückt beim laufen,Passform
21,"Achtung bei der Größe! Habe von der Marke schon einige Schuhe bestellten weiß daher, dass sie recht klein ausfallen. Dieses Modell allerdings ist noch kleiner als normal",Passform
22,Leider hat der Schuh eine sehr große Form. Passt nicht,Passform
23,Die Größe wird auf der Seite falsch angegeben.,Passform
24,"Sehr klein. Sieht zwar gut aus, aber man bricht sich förmlich die Füße beim Gehen",Passform
25,Schuh passt nicht. Es drückt vorn bei den Zehen und das an und ausziehen bereitet große Probleme,Passform
26,Es wurde ein Schuh in 42 und einer in 45 geliefert.,Lieferung
27,Ich habe die Lieferung immer noch nicht bekommen,Lieferung
28,Seit 3 Wochen warte ich vergebens auf das Paket. Habe den Hersteller schon angeschrieben aber keine Reaktion,Lieferung
29,Die Schuhe sollten längst hier sein. Ich habe keine Sendungsnummer und auch Amazon kann mir nicht weiterhelfen,Lieferung
30,Das Geld ist weg und das Paket nicht da. Nie wieder!,Lieferung
31,Die Lieferung hat sehr lange gedauert,Lieferung
32,Das Paket war von außen beschädigt und auch die Schuhe haben etwas abbekommen. Schicke sie direkt wieder zurück,Lieferung
33,Die Lieferung ist noch nicht erfolgt. Warte nun seit 2 Wochen,Lieferung
34,Lieder sind sie nie angekommen.,Lieferung
35,"Lieferung dauert viel zu lang. Hat beim letzten Mal schon Probleme gegeben und jetzt schon wieder. Das war das letzte mal, dass ich bei dem Anbieter bestellt habe.",Lieferung
36,Kann leider nix dazu sagen da ich die Stiefel nie bekommen habe.,Lieferung
37,Das Produkt ist leider nie angekommen. Vom Verkäufer auch keine Reaktion…,Lieferung
38,Habe mir die Schuhe vor 4 Wochen bestellt und sind nie angekommen,Lieferung
39,"Leider habe ich die bestellte Ware nicht erhalten. Von der DHL hieß es, dass es nicht zustellbar gewesen wäre und ist daher zurückgeschickt worden.",Lieferung
40,Die Lieferung hat ewig gedauert und dann war das Paket auch noch ramponiert.,Lieferung
41,"Auf Anfrage behauptet der Verkäufer, dass das Paket zugestellt worden sei, doch ich habe nie etwas erhalten",Lieferung
42,"Kein Paket, keine Rückmeldung vom Verkäufer und kein Geld. 10/10",Lieferung
43,Ich habe das Paket nicht erhalten,Lieferung
44,"Ich habe jetzt den Verkäufer kontaktiert, da das Pakt nie ankam",Lieferung
45,Kann ich nichts zu sagen da sie nie angekommen sind. Aber wie immer alles sehr kulant und schnell abgewickelt,Lieferung
46,"Obwohl ich bereits eine Schuhgröße größer bestellt habe und die Schnürung ganz geöffnet habe, ist der Übergang vom Schaft zum Schuh so eng, dass man nicht hineinschlüpfen konnte.",Passform
47,Kann leider nix dazu sagen da ich die Kopfhörer nicht an die Füße meiner Tochter bekomm die ich statt der Stiefel bekommen habe . Schade,Lieferung
48,"Die Tasche ansich ist recht schön, nur leider hat sich nach 3 bis 4 Monaten schon der Gurt gelöst. Die Beschichtung hat sich gelöst und der Gurt ist, logischerweise ohne Fremdeinwirkung, kaputt.",Qualität
49,"Keine Neuware! Ein Schuh wurde anprobiert/getragen. Dies ist klar an Schnürsenkeln, Zunge usw. erkennbar. Die Schuhe wurden in der ""Frustfreien Verpackung"" von Amazon versendet. Also ohne Orginalverpackung. Die Idee der ""Frustfreien Verpackung"" ist eine gute Idee um Verpackungsmaterial einzusparen. ABER: hier wurde aber benutze !!! Ware als Neuware verpackt/verkauft. Sehr, sehr dreist.",Qualität
50,"Der Gummistiefel ist zwar wirklich sehr leicht, aber eher ein Plastik Schuh. Ich dachte für den Herbst ohne den Innenstoff zum anziehen, aber mein Sohn hatte komplett nasse Schweißfüße bekommen. Mit dem Innenstoff sind die Stiefel nur für schmale Füße geeignet. Das war leider ein Fehlkauf für uns...",Qualität
51,Wir sind beim Auspacken erschrocken. Sie stanken und wirkten wie aus Gummi. Gingen sofort zurück. Dabei gab es kein Problem.,Qualität
52,"Leider wurde der Schuh, nachdem ich ihn ein paar Mal getragen habe, undicht. Seitdem habe ich jedes Mal, wenn es regnet, nasse Füße. Blöd, weil die Schuhe für die kalten Jahreszeiten gekauft wurden, in denen es halt auch mal regnet. Geld, das ich besser in einen anderen Schuh investiert hätte. Schade!",Qualität
53,Der Schuh ist soweit i.o. Bin jahrelanger guter Kunde von Adidas und immer sehr zufrieden damit. Aber leider bekomme ich die Schnürsenkel bei diesem Model nicht zu.Damit Ist der Schuh nix wert !!! Also wer einen Schuh will der nicht zu verschließen geht dann kauft diesen :-),Qualität
54,Das Fell ist von billigster Qualität. Beim ersten Mal tragen hängt es schon an den Socken fest.,Qualität
55,"Vorweg muss ich sagen, dass ich den Reebok Classic Leather jetzt nicht zum ersten mal gekauft habe. Aber dieses mal ist es irgendwie anders als bei seinen Vorgängern. Dieses Wohlfühl Gefühl beim ersten Anprobieren wollte sich dieses mal gar nicht so recht einstellen. Es fühlt sich irgendwie nicht echt an. Ich will jetzt nicht unterstellen, dass es eine Fälschung sein könnte, aber der Schuh ist bei weitem nicht mehr so bequem und weich wie er vorher mal war. Irgendwas ist da am Material und an der Sohle zum Nachteil verändert worden. Daher von mir leider keine Kaufempfehlung.",Qualität
56,Ich hatte den gleichen Schuh bereits in 39 in einer anderen Farbe der gut gepasst hat. Diesmal ist die 39 zu klein. Es wurde eine Seite in 39 und eine in 37 geliefert und die Schnallen sehen total ramponiert aus. Somit geht alles wieder zurück.,Passform
57,Leider sind die Schuhe und Füße weiterhin gleich feucht in den Schuhen. Jedoch weißt das Holz das Wasser ab und saugt es nicht wie normale Sohlen auf. Daraus entsteht dann ein kleiner unangenehmer See im Schuh. Somit ist das Tragen von Schuhen ohne Sohle angenehmer.,Qualität
58,"War vom Preis Leistung Verhältnis begeistert. Gute Passform, weichere Sohle, richtig angenehm und robust.. Nach einer Wintersaison ( Anfang 2018) und jetzt im Herbst (insgesamt 4 Monate getragen) löst sich bei beiden Schuhen im vorderen Bereich an der Spitze die Sohle (oben) Das heisst: Feuchtigkeit bzw Nässe kann eintreten. Vieleicht wurde hier mit Kleber gespart? Auf jeden Fall zum Ende hin entäuschend und nicht zu empfehlen.",Qualität
59,"Würde diesen Schuh nie wieder kaufen, er war nach 4 Wochen Tragen kaputt . Sohle löste sich ab und an den Seiten eingerissen.",Qualität
60,Schlechte Qualität. Bei der Kleingeldtasche ist die Naht nach 2 Wochen aufgerissen.,Qualität
61,Die Sohle war ziemlich schnell durchgelaufen 😞 und daher kann ich sie nicht empfehlen. Ich würde sie für diesen Preis nicht nochmal kaufen,Qualität
62,"Meine gelieferten Schuhe sind nicht Original. Das Fähnchen mit dem QR-Code fehlt. Es gibt auch keinen Aufkleber mit QR-Code. Auch der nach der Reklamation gelieferte Ersatzschuh ist kein Original. Dass Amazon (ich habe direkt dort gekauft, nicht über Marketplace) Fälschungen verkauft, hätte ich nicht erwartet, zumal auch nicht jeder Kunde die Echtheit prüft. Auch ich bin nur durch Zufall darüber gestolpert. Auspacken, einpacken, zweimal zur Post rennen, bin zum ersten Mal von Amazon genervt. Schade. Ich bin schon lange Amazon-Kunde, früher gabs eigentlich nie Reklamationen,aber in letzter Zeit muss ich öfter Gekauftes zurückschicken.",Qualität
63,"Nicht empfehlenswert, brauche sie nur zum duschen auf Arbeit doch sie sind einfach kaputt gegangen. Erst löste sich eine Seite einen Tag später die andere. Sehr enttäuscht",Qualität
64,"Das Produkt ist leider nie angekommen ???!! Den Verkäufer kann man leider nicht anderweitig kontaktieren, also bleibt mir nix anderes übrig, als eine negative Bewertung zu hinterlassen..",Lieferung
